,missing_email_count,non_missing_email_count,total_count,missing_email_pct
count,59.0,59.0,59.0,59.0
mean,2.5254237288135593,7.5423728813559325,10.067796610169491,26.010812633693995
std,1.489687912275239,4.587546988947756,5.486234833433083,10.042746656241942
min,1.0,3.0,5.0,8.333333333333334
25%,1.0,5.0,6.5,16.666666666666668
50%,2.0,6.0,8.0,28.571428571428573
75%,3.0,9.0,12.5,33.333333333333336
max,7.0,31.0,36.0,40.0
