,False,True
firm_is_multi_domain,46.596237805206705,19.842023617310918
is_shared_infra,31.60135827089959,18.471206509006873
either_flag,61.05751091467687,33.094310950707566
neither_flags,38.94248908532313,66.90568904929243
both_flags,17.14008516142942,5.218919175610219
