,missing_email_count,non_missing_email_count,total_count,missing_email_pct
count,10689.0,10689.0,10689.0,10689.0
mean,2.203480213303396,3.298063429694078,5.501543642997474,26.29342642787047
std,10.881611618685731,4.60786770532355,12.184284753720988,31.11424415126124
min,0.0,1.0,1.0,0.0
25%,0.0,1.0,2.0,0.0
50%,0.0,2.0,3.0,0.0
75%,2.0,4.0,6.0,50.0
max,726.0,111.0,729.0,99.58847736625515
